2026-05-10 12:55:52,819 | INFO | Ticker ACRS done. months_processed=1 kept_articles=23
2026-05-10 12:56:07,510 | INFO | Ticker ADBE reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:56:07,510 | INFO | Ticker ADBE done. months_processed=1 kept_articles=30
2026-05-10 12:56:26,839 | WARNING | GDELT status=429. Sleeping 15.4s then retry/skip. query=("Analog Devices Inc" OR "Analog Devices earnings" OR "Analog Devices stock") sourcelang:english
2026-05-10 12:56:47,769 | WARNING | GDELT status=429. Sleeping 30.3s then retry/skip. query=("Analog Devices Inc" OR "Analog Devices earnings" OR "Analog Devices stock") sourcelang:english
2026-05-10 12:57:48,091 | INFO | Ticker ADI fallback split window 2018-01-01 -> 2018-01-31 got 160 articles
2026-05-10 12:57:48,155 | INFO | Ticker ADI reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:57:48,156 | INFO | Ticker ADI done. months_processed=1 kept_articles=30
2026-05-10 12:58:05,322 | WARNING | GDELT status=429. Sleeping 15.0s then retry/skip. query=("ADMA Biologics" OR "ADMA Biologics earnings" OR "ADMA Biologics stock") sourcelang:english
2026-05-10 12:58:22,035 | WARNING | GDELT status=429. Sleeping 30.5s then retry/skip. query=("ADMA Biologics" OR "ADMA Biologics earnings" OR "ADMA Biologics stock") sourcelang:english
2026-05-10 12:58:54,511 | WARNING | GDELT status=429. Sleeping 15.7s then retry/skip. query=("ADMA Biologics" OR "ADMA Biologics earnings" OR "ADMA Biologics stock") sourcelang:english
2026-05-10 12:59:11,874 | WARNING | GDELT status=429. Sleeping 30.1s then retry/skip. query=("ADMA Biologics" OR "ADMA Biologics earnings" OR "ADMA Biologics stock") sourcelang:english
2026-05-10 12:59:43,453 | WARNING | GDELT status=429. Sleeping 15.9s then retry/skip. query=("ADMA Biologics" OR "ADMA Biologics earnings" OR "ADMA Biologics stock") sourcelang:english
2026-05-10 13:00:01,669 | WARNING | GDELT status=429. Sleeping 30.4s then retry/skip. query=("ADMA Biologics" OR "ADMA Biologics earnings" OR "ADMA Biologics stock") sourcelang:english
2026-05-10 13:00:32,094 | INFO | Ticker ADMA fallback split window 2018-01-01 -> 2018-01-31 got 0 articles
2026-05-10 13:00:32,149 | INFO | Ticker ADMA reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 13:00:32,149 | INFO | Ticker ADMA done. months_processed=1 kept_articles=0
2026-05-10 13:00:40,199 | WARNING | GDELT status=429. Sleeping 15.5s then retry/skip. query=("Automatic Data Processing" OR "Automatic Data Processing earnings" OR "Automatic Data Processing stock") sourcelang:english -"ADP employment report" -"ADP jobs report"
2026-05-10 13:01:15,727 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Automatic+Data+Processing%22+OR+%22Automa. Retry/skip.
2026-05-10 13:02:16,746 | INFO | Ticker ADP fallback split window 2018-01-01 -> 2018-01-31 got 160 articles
2026-05-10 13:02:16,837 | INFO | Ticker ADP reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 13:02:16,840 | INFO | Ticker ADP done. months_processed=1 kept_articles=30
2026-05-10 13:02:37,968 | WARNING | GDELT status=429. Sleeping 15.4s then retry/skip. query=("Autodesk Inc" OR "Autodesk earnings" OR "Autodesk stock" OR "AutoCAD") sourcelang:english
